College Code,College Name,District,Branch Code,Branch Name,OC,MBC
3766,"Star Lion College of Engineering & Technology, Manankorai Main Road, Manankorai Village, Thanjavur District 614206",Thanjavur,CS,Computer Science and Engineering,99505,109652
3786,"M.A.M. School of Engineering, Siruganur, Tiruchirappalli District 621105",Tiruchirappalli,CS,Computer Science and Engineering,78999,109884
3802,"Shri Angalamman College of Engineering and Technology Siruganoor, Tiruchirappalli District 621105",Tiruchirappalli,CS,Computer Science and Engineering,999999999999,999999999999
3802,"Shri Angalamman College of Engineering and Technology Siruganoor, Tiruchirappalli District 621105",Tiruchirappalli,EC,Electronics and Communication Engineering,999999999999,999999999999
3805,"Dhanalakshmi Srinivasan  Engineering College, Thuraiyur Road, Perambalur District 621212",Perambalur,RM,Robotics and Automation,110817,
3809,"Kurinji College of Engineering and Technology, Manapparai, Tiruchirappalli District621307",Tiruchirappalli,CS,Computer Science and Engineering,999999999999,999999999999
3809,"Kurinji College of Engineering and Technology, Manapparai, Tiruchirappalli District621307",Tiruchirappalli,EC,Electronics and Communication Engineering,999999999999,999999999999
3812,"Mookambigai College of Engineering, Keeranur, Pudukkottai District 622502",Pudukkottai,EC,Electronics and Communication Engineering,110848,
3815,"Pavendhar Bharathidasan College of Engineering and Technology, Pudukkottai Main Road, Tiruchirappalli District 620024",Tiruchirappalli,CS,Computer Science and Engineering,110040,
3819,"Saranathan College of Engineering, Panjappur, Tiruchirappalli District 620012",Tiruchirappalli,AD,Artificial Intelligence and Data Science,999999999999,999999999999
3819,"Saranathan College of Engineering, Panjappur, Tiruchirappalli District 620012",Tiruchirappalli,CB,Computer Science and Business System,999999999999,999999999999
3821,"A R J College of Engineering and Technology, Mannargudi Taluk, Thiruvarur District 614001",Thiruvarur,CS,Computer Science and Engineering,110006,
3822,"Dr. Navalar Nedunchezhian College of Engineering, Tholudur, Cuddalore District606303",Cuddalore,EC,Electronics and Communication Engineering,999999999999,999999999999
3825,"St. Josephs College of Engineering and Technology, Elupatti Village, Rawaspatti Post, Thanjavur District 613403",Thanjavur,CS,Computer Science and Engineering,87260,110163
3825,"St. Josephs College of Engineering and Technology, Elupatti Village, Rawaspatti Post, Thanjavur District 613403",Thanjavur,EC,Electronics and Communication Engineering,110651,
3826,"Kongunadu College of Engineering and Technology, Tholurpatti, Thottiyam,Tiruchirappalli District 621215",Tiruchirappalli,AD,Artificial Intelligence and Data Science,999999999999,999999999999
3829,"M.A.M. College of Engineering and Technology, Trichy-Chennai Trunk Road,Siruganur, Tiruchirappalli District 621105",Tiruchirappalli,CS,Computer Science and Engineering,999999999999,999999999999
3843,"M R K Institute of Technology, Nattarmangalam Village, Kattumannarkoil, Cuddalore District 608306",Cuddalore,EC,Electronics and Communication Engineering,88827,109962
3846,"Mother Terasa College of Engineering and Technology, Mettusalai Post and Taluk,Pudukkottai District 622102",Pudukkottai,EC,Electronics and Communication Engineering,999999999999,999999999999
3849,"Annai College of Engineering and Technology, Kovilacheri, Kumbakonam, Thanjavur District 612503",Thanjavur,EC,Electronics and Communication Engineering,110717,
3850,"Vetri Vinayaha College of Engineering and Technology, Namakkal-Trichy Main Road, Tholurpatti Village, Thottiam, Tiruchirappalli District 621215",Tiruchirappalli,CS,Computer Science and Engineering,109870,
3854,"Mahath Amma Institute of Engineering and Technology (MIET), Ariyur, Annavasal Road, Illupur Taluk, Pudukkottai District 622101",Pudukkottai,CS,Computer Science and Engineering,110666,
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi, Aduthurai, Thiruvidaimaruthur, Thanjavur District 612102",Thanjavur,CS,Computer Science and Engineering,107840,109612
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi, Aduthurai,Thiruvidaimaruthur, Thanjavur District 612102",Thanjavur,EC,Electronics and Communication Engineering,999999999999,999999999999
3857,"Meenakshi Ramaswamy Engineering College, Trichy Main Road,  Thathanur, Udayarpalayam, Ariyalur District 621804",Ariyalur,CS,Computer Science and Engineering,110336,
3859,"Sembodai Rukmani Varatharajan Engineering College, Sembodai Village, Vedaraniam,Nagappattinam District 614820",Nagappattinam,EC,Electronics and Communication Engineering,999999999999,999999999999
3859,"Sembodai Rukmani Varatharajan Engineering College, Sembodai Village, Vedaraniam, Nagappattinam District 614820",Nagappattinam,CS,Computer Science and Engineering,109886,
3860,"St. Annes College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti, Cuddalore District 607110",Cuddalore,CS,Computer Science and Engineering,102197,110944
3860,"St. Annes College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti, Cuddalore District 607110",Cuddalore,EC,Electronics and Communication Engineering,109873,
3918,"Shanmuganathan Engineering College, Pillivalam Post, Pudukkottai District 622507",Pudukkottai,CS,Computer Science and Engineering,78386,110726
4675,"Universal College of Engineering and Technology, Anbagam Campus, Radhapuram Road, Vallioor, Tirunelveli District 627117",Tirunelveli,EC,Electronics and Communication Engineering,110208,
4678,"Ramco Institute of Technology, North venganallur Village, Krishnapuram Panchayat,Rajapalayam, Virudhunagar District 626117",Virudhunagar,AD,Artificial Intelligence and Data Science,999999999999,999999999999
4686,"GOOD SHEPHERD COLLEGE OF ENGINEERING AND TECHNOLOGY, MARUTHAMPARAI, Kanyakumari District 629101",Kanyakumari,CS,Computer Science and Engineering,110715,
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District626106",Virudhunagar,AD,Artificial Intelligence and Data Science,999999999999,999999999999
4927,"Maria College of Engineering and Technology, Attoor Puliyamoodu Junction,Thiruvattar Post, Kanyakumari District 629177",Kanyakumari,EC,Electronics and Communication Engineering,999999999999,999999999999
4928,"MAR Ephraem College of Engineering & Technology, Malankara Hills, Elavuvillai, Marthandam, Kanyakumari District 629171 ",Kanyakumari,EC,Electronics and Communication Engineering,110493,
4932,"Immanuel Arasar J J College of Engineering, Anappara, Edavilagam, Nattalam,Kanyakumari District 629195",Kanyakumari,EC,Electronics and Communication Engineering,999999999999,999999999999
4932,"Immanuel Arasar J J College of Engineering, Anappara, Edavilagam, Nattalam,Kanyakumari District 629195",Kanyakumari,IT,Information Technology,999999999999,999999999999
4932,"Immanuel Arasar J J College of Engineering, Anappara, Edavilagam, Nattalam,Kanyakumari District 629195",Kanyakumari,CS,Computer Science and Engineering,999999999999,999999999999
4934,"Holy Cross Engineering College, Vagaikulam, Sri Mulakarai, Srivaikuntam,  Thoothukudi District 628851",Thoothukudi,CS,Computer Science and Engineering,94310,110937
4937,"A R College of Engineering and Technology, Kadayam-Alangulam Road,Therikkumadathoor Post, Tirunelveli District 627423",Tirunelveli,CS,Computer Science and Engineering,999999999999,999999999999
4937,"A R College of Engineering and Technology, Kadayam-Alangulam Road,Therikkumadathoor Post, Tirunelveli District 627423",Tirunelveli,EC,Electronics and Communication Engineering,999999999999,999999999999
4938,"Sivaji College of Engineering and Technology, Manivilla Palulai Panchayat,Vilavancode, Kanyakumari District 629170",Kanyakumari,CS,Computer Science and Engineering,999999999999,999999999999
4944,"Arunachala College of Engineering for Women, Thanka Gardens, Manavilai,Vellichanthai, Nagercoil, Kanyakumari District 629203",Kanyakumari,AD,Artificial Intelligence and Data Science,999999999999,999999999999
4953,"CAPE Institute of Technology, Levingipuram, Tirunelveli District 627114",Tirunelveli,IT,Information Technology,74371,110122
4955,"Francis Xavier Engineering College, Vannarpettai, Tirunelveli District 627003",Tirunelveli,AD,Artificial Intelligence and Data Science,999999999999,999999999999
4955,"Francis Xavier Engineering College, Vannarpettai, Tirunelveli District 627003",Tirunelveli,CB,Computer Science and Business System,999999999999,999999999999
4956,"Jayamatha Engineering College, Thirurajapuram, Muppandal, Aralvaimozhi,Kanyakumari Dt - 629301",Kanyakumari,EC,Electronics and Communication Engineering,999999999999,999999999999
4965,"P S R  Engineering College (Autonomous), Appayanaickenpatti, Sevalpatti, Virudhunagar District 626140",Virudhunagar,EC,Electronics and Communication Engineering,73838,109834
4976,"Infant Jesus College of Engineering, Thoothukudi Highway (NH7/A), Thoothukudi District 628851",Thoothukudi,EC,Electronics and Communication Engineering,999999999999,999999999999
4977,"Narayanaguru College of Engineering, Manjalumoodu, Kanyakumari District 629151",Kanyakumari,EC,Electronics and Communication Engineering,999999999999,999999999999
4977,"Narayanaguru College of Engineering, Manjalumoodu, Kanyakumari District 629151",Kanyakumari,CS,Computer Science and Engineering,110246,
4978,"Udaya School of Engineering, Ammandivilai Post, Kanyakumari District 629204",Kanyakumari,EC,Electronics and Communication Engineering,999999999999,999999999999
4978,"Udaya School of Engineering, Ammandivilai Post, Kanyakumari District 629204",Kanyakumari,CS,Computer Science and Engineering,110236,
4979,"V P Muthaiah Pillai Meenakshi Ammal Engineering College for Women, SrivilliputhurTaluk, Virudhunagar District 626190",Virudhunagar,EC,Electronics and Communication Engineering,999999999999,999999999999
4982,"Vins Christian College of Engineering, Chunkankadai Post, Nagercoil, Kanyakumari District  629807",Kanyakumari,CS,Computer Science and Engineering,110973,
4983,"Lord Jegannath College of Engineering and Technology, Kumarapuram, Thoppur Post,Kanyakumari District 629402",Kanyakumari,EC,Electronics and Communication Engineering,999999999999,999999999999
4983,"Lord Jegannath College of Engineering and Technology, Kumarapuram, Thoppur Post,Kanyakumari District 629402",Kanyakumari,RM,Robotics and Automation,999999999999,999999999999
4989,"P S N Engineering College, Melathediyoor, Tirunelveli District 627152",Tirunelveli,EC,Electronics and Communication Engineering,110697,
4989,"P S N Engineering College, Melathediyoor, Tirunelveli District 627152",Tirunelveli,IT,Information Technology,109862,
4992,"Bethlahem Institute of Engineering, Karungal, Kanyakumari District 629157",Kanyakumari,IT,Information Technology,110604,
4993,"Loyola Institute of Technology and Science, Loyola Nagar,  P B No.2, Thovalai, Kanyakumari District 629302",Kanyakumari,EC,Electronics and Communication Engineering,110925,
4993,"Loyola Institute of Technology and Science, Loyola Nagar,  P B No.2, Thovalai, Kanyakumari District 629302",Kanyakumari,IT,Information Technology,87572,110114
4994,"J P College of Engineering, College Road, Ayakudy, Tenkasi Taluk, Tenkasi District 627852",Tenkasi,EC,Electronics and Communication Engineering,110691,
4995,"P S R Rengasamy College of Engineering for Women, Appayanaickenpatti, Sevalpatti, Virudhunagar District 626140",Virudhunagar,CS,Computer Science and Engineering,109657,
4999,"Annai Vailankanni College of Engineering, Pothaiyadi Salai, Pottalkulam, Azhagappapuram, Kanyakumari District 629401",Kanyakumari,CS,Computer Science and Engineering,109690,
5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",Madurai,CB,Computer Science and Business System,999999999999,999999999999
5533,"Karaikudi Institute of Technology, KIT & KIM Technical Campus, Keeranipatti, Thalakkuvur, Karaikudi, Sivagangai District 630307",Sivagangai,CS,Computer Science and Engineering,110071,
5533,"Karaikudi Institute of Technology, KIT & KIM Technical Campus, Keeranipatti, Thalakkuvur, Karaikudi, Sivagangai District 630307",Sivagangai,EC,Electronics and Communication Engineering,109698,
5536,"Mangayarkarasi College of Engineering, First Street, Mangayarkarasi Nagar, Paravai, Madurai District 625402",Madurai,CS,Computer Science and Engineering,92140,110110
