College Code,College Name,District,Branch Code,Branch Name,Cutoff OC,Cutoff MBC,Rank OC,Rank MBC
1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai 600127",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,124,111.5,104100,121939
1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai 600127",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,89,85.5,148268,151303
1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai 600127",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,93,,144352,
1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai 600127",Chennai,IT,INFORMATION TECHNOLOGY,131,108,93175,126515
1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai 601301",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,87,,150064,
1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai 601301",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,89,,148231,
1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai 601301",Chennai,IT,INFORMATION TECHNOLOGY,113,,119917,
1428,"E S Engineering College, Chennai Trunk Road, Ayyankoilpattu, Villupuram District 605602",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,80,,155923,
1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi  District 606201",Kallakurichi,CS,COMPUTER SCIENCE AND ENGINEERING,110.5,84.5,123344,152142
1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi  District 606201",Kallakurichi,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,107.5,80,127595,155787
1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi  District 606201",Kallakurichi,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,90,80,147070,155766
1431,"New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road, Gowrivakkam, Chennai 600073",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,143.5,101.5,74554,134981
1431,"New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road, Gowrivakkam, Chennai 600073",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,119.5,92,110654,145261
1431,"New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road, Gowrivakkam, Chennai 600073",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,95,87.5,142259,149559
1431,"New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road, Gowrivakkam, Chennai 600073",Chennai,IT,INFORMATION TECHNOLOGY,138.5,93,82273,144164
1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District, Chennai 600124",Chennai,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,185.5,171.24,13748,33014
1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District, Chennai 600124",Chennai,AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),185.5,171,13439,33410
1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District, Chennai 600124",Chennai,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,183,166.5,16655,40103
1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District, Chennai 600124",Chennai,CO,COMPUTER AND  COMMUNICATION ENGINEERING,185,171,14074,33398
1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District, Chennai 600124",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,189,180,8979,20730
1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District, Chennai 600124",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,186,169.5,12960,35420
1434,"Surya Group of Institutions, GST Road, Vikravandi Village, Villupuram District 605652 ",Villupuram,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,102,98,134481,138943
1434,"Surya Group of Institutions, GST Road, Vikravandi Village, Villupuram District 605652 ",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,132,97.5,92226,139201
1434,"Surya Group of Institutions, GST Road, Vikravandi Village, Villupuram District 605652 ",Villupuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,91.5,82.5,145502,153838
1434,"Surya Group of Institutions, GST Road, Vikravandi Village, Villupuram District 605652 ",Villupuram,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,86.5,,150499,
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601",Villupuram,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,80,,155640,
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,85,83.5,151761,153000
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601",Villupuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,96.5,,140196,
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601",Villupuram,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,99,,137547,
1437,"Rrase College of Engineering, Padappai, Kancheepuram  601301",Kancheepuram,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,93,,144107,
1437,"Rrase College of Engineering, Padappai, Kancheepuram  601301",Kancheepuram,CS,COMPUTER SCIENCE AND ENGINEERING,98,80.5,139005,155183
1437,"Rrase College of Engineering, Padappai, Kancheepuram  601301",Kancheepuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,83,,153248,
1437,"Rrase College of Engineering, Padappai, Kancheepuram  601301",Kancheepuram,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,83,,153378,
1437,"Rrase College of Engineering, Padappai, Kancheepuram  601301",Kancheepuram,IT,INFORMATION TECHNOLOGY,120,92.5,110042,144483
1438,"Sree Krishna College of Engineering, Anaicut Post, Unnai Village, Vellore District 632101",Vellore,CS,COMPUTER SCIENCE AND ENGINEERING,94.5,,142559,
1438,"Sree Krishna College of Engineering, Anaicut Post, Unnai Village, Vellore District 632101",Vellore,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,132.755,,90682,
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",Kallakurichi,CS,COMPUTER SCIENCE AND ENGINEERING,123.5,82.5,105136,153970
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",Kallakurichi,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,114,86,118921,150995
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",Kallakurichi,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,102.5,80,133880,155962
1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam-Mambakkam Road, Ponmar, Chennai 600127",Chennai,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,169.385,142.755,35866,75520
1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam-Mambakkam Road, Ponmar, Chennai 600127",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,162.285,128.5,46381,97156
1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam-Mambakkam Road, Ponmar, Chennai 600127",Chennai,SC,Computer Science and Engineering (Cyber Security),165.725,110.5,41194,123287
1444,"Chendu College of Engineering and Technology, Zamin Endathur Village, Madurantakam Taluk, Chengalpattu District 600127",Chengalpattu,CS,COMPUTER SCIENCE AND ENGINEERING,85.5,,151433,
1445,"Sri Rangapoopathi College of Engineering, Alampoondi Village, Gingee, Villupuram District 604151",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,80,,155994,
1445,"Sri Rangapoopathi College of Engineering, Alampoondi Village, Gingee, Villupuram District 604151",Villupuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,80.5,,155450,
1449,"Saraswathy College of Engineering and Technology, NH-45, Main Road, Olakkur, Tindivanam Taluk, Villupuram District 604307",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,112,84.5,121392,152279
1449,"Saraswathy College of Engineering and Technology, NH-45, Main Road, Olakkur, Tindivanam Taluk, Villupuram District 604307",Villupuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,90,,147236,
